task,sigma_s,sigma_r,wb,wg,wr,error
a,1,0.2,0.0,1.0,0.0,2951340
a,1,0.2,0.0,0.9,0.1,3019011
a,1,0.2,0.0,0.8,0.2,3063839
a,1,0.2,0.0,0.7,0.3,3087664
a,1,0.2,0.0,0.6,0.4,3089382
a,1,0.2,0.0,0.5,0.5,3076841
a,1,0.2,0.0,0.4,0.6,3049440
a,1,0.2,0.0,0.3,0.7,3003868
a,1,0.2,0.0,0.2,0.8,2936719
a,1,0.2,0.0,0.1,0.9,2831252
a,1,0.2,0.0,0.0,1.0,2672617
a,1,0.2,0.1,0.9,0.0,2984422
a,1,0.2,0.1,0.8,0.1,3031789
a,1,0.2,0.1,0.7,0.2,3075224
a,1,0.2,0.1,0.6,0.3,3088072
a,1,0.2,0.1,0.5,0.4,3089431
a,1,0.2,0.1,0.4,0.5,3074810
a,1,0.2,0.1,0.3,0.6,3035836
a,1,0.2,0.1,0.2,0.7,2990580
a,1,0.2,0.1,0.1,0.8,2908769
a,1,0.2,0.1,0.0,0.9,2800694
a,1,0.2,0.2,0.8,0.0,2994352
a,1,0.2,0.2,0.7,0.1,3040963
a,1,0.2,0.2,0.6,0.2,3061767
a,1,0.2,0.2,0.5,0.3,3083217
a,1,0.2,0.2,0.4,0.4,3078560
a,1,0.2,0.2,0.3,0.5,3054928
a,1,0.2,0.2,0.2,0.6,3015814
a,1,0.2,0.2,0.1,0.7,2959233
a,1,0.2,0.2,0.0,0.8,2869153
a,1,0.2,0.3,0.7,0.0,2969558
a,1,0.2,0.3,0.6,0.1,3017196
a,1,0.2,0.3,0.5,0.2,3038188
a,1,0.2,0.3,0.4,0.3,3047778
a,1,0.2,0.3,0.3,0.4,3044753
a,1,0.2,0.3,0.2,0.5,3015572
a,1,0.2,0.3,0.1,0.6,2965095
a,1,0.2,0.3,0.0,0.7,2893972
a,1,0.2,0.4,0.6,0.0,2942426
a,1,0.2,0.4,0.5,0.1,2971139
a,1,0.2,0.4,0.4,0.2,2983076
a,1,0.2,0.4,0.3,0.3,2993928
a,1,0.2,0.4,0.2,0.4,2977994
a,1,0.2,0.4,0.1,0.5,2948794
a,1,0.2,0.4,0.0,0.6,2885810
a,1,0.2,0.5,0.5,0.0,2877405
a,1,0.2,0.5,0.4,0.1,2904864
a,1,0.2,0.5,0.3,0.2,2911544
a,1,0.2,0.5,0.2,0.3,2908177
a,1,0.2,0.5,0.1,0.4,2890268
a,1,0.2,0.5,0.0,0.5,2840587
a,1,0.2,0.6,0.4,0.0,2780382
a,1,0.2,0.6,0.3,0.1,2816721
a,1,0.2,0.6,0.2,0.2,2817124
a,1,0.2,0.6,0.1,0.3,2801739
a,1,0.2,0.6,0.0,0.4,2755441
a,1,0.2,0.7,0.3,0.0,2666457
a,1,0.2,0.7,0.2,0.1,2682693
a,1,0.2,0.7,0.1,0.2,2682216
a,1,0.2,0.7,0.0,0.3,2643725
a,1,0.2,0.8,0.2,0.0,2490824
a,1,0.2,0.8,0.1,0.1,2510010
a,1,0.2,0.8,0.0,0.2,2474177
a,1,0.2,0.9,0.1,0.0,2254332
a,1,0.2,0.9,0.0,0.1,2247082
a,1,0.2,1.0,0.0,0.0,1868813
a,2,0.05,0.0,1.0,0.0,4733674
a,2,0.05,0.0,0.9,0.1,5197037
a,2,0.05,0.0,0.8,0.2,5618505
a,2,0.05,0.0,0.7,0.3,5909307
a,2,0.05,0.0,0.6,0.4,6040175
a,2,0.05,0.0,0.5,0.5,5945717
a,2,0.05,0.0,0.4,0.6,5538876
a,2,0.05,0.0,0.3,0.7,5001918
a,2,0.05,0.0,0.2,0.8,4462989
a,2,0.05,0.0,0.1,0.9,3856460
a,2,0.05,0.0,0.0,1.0,3274686
a,2,0.05,0.1,0.9,0.0,5002209
a,2,0.05,0.1,0.8,0.1,5418824
a,2,0.05,0.1,0.7,0.2,5743982
a,2,0.05,0.1,0.6,0.3,5936727
a,2,0.05,0.1,0.5,0.4,6025035
a,2,0.05,0.1,0.4,0.5,5850921
a,2,0.05,0.1,0.3,0.6,5390319
a,2,0.05,0.1,0.2,0.7,4866339
a,2,0.05,0.1,0.1,0.8,4249983
a,2,0.05,0.1,0.0,0.9,3617246
a,2,0.05,0.2,0.8,0.0,4951171
a,2,0.05,0.2,0.7,0.1,5328625
a,2,0.05,0.2,0.6,0.2,5495974
a,2,0.05,0.2,0.5,0.3,5625877
a,2,0.05,0.2,0.4,0.4,5604357
a,2,0.05,0.2,0.3,0.5,5460979
a,2,0.05,0.2,0.2,0.6,5016363
a,2,0.05,0.2,0.1,0.7,4521444
a,2,0.05,0.2,0.0,0.8,3978630
a,2,0.05,0.3,0.7,0.0,4698116
a,2,0.05,0.3,0.6,0.1,4906091
a,2,0.05,0.3,0.5,0.2,5015601
a,2,0.05,0.3,0.4,0.3,5105204
a,2,0.05,0.3,0.3,0.4,5078490
a,2,0.05,0.3,0.2,0.5,4871314
a,2,0.05,0.3,0.1,0.6,4495423
a,2,0.05,0.3,0.0,0.7,4154926
a,2,0.05,0.4,0.6,0.0,4303481
a,2,0.05,0.4,0.5,0.1,4469247
a,2,0.05,0.4,0.4,0.2,4564092
a,2,0.05,0.4,0.3,0.3,4611978
a,2,0.05,0.4,0.2,0.4,4560366
a,2,0.05,0.4,0.1,0.5,4356171
a,2,0.05,0.4,0.0,0.6,4102908
a,2,0.05,0.5,0.5,0.0,3944983
a,2,0.05,0.5,0.4,0.1,4114864
a,2,0.05,0.5,0.3,0.2,4176842
a,2,0.05,0.5,0.2,0.3,4168877
a,2,0.05,0.5,0.1,0.4,4087634
a,2,0.05,0.5,0.0,0.5,3910575
a,2,0.05,0.6,0.4,0.0,3661192
a,2,0.05,0.6,0.3,0.1,3815371
a,2,0.05,0.6,0.2,0.2,3812351
a,2,0.05,0.6,0.1,0.3,3831332
a,2,0.05,0.6,0.0,0.4,3730761
a,2,0.05,0.7,0.3,0.0,3382433
a,2,0.05,0.7,0.2,0.1,3539749
a,2,0.05,0.7,0.1,0.2,3574374
a,2,0.05,0.7,0.0,0.3,3549852
a,2,0.05,0.8,0.2,0.0,3172828
a,2,0.05,0.8,0.1,0.1,3262855
a,2,0.05,0.8,0.0,0.2,3310876
a,2,0.05,0.9,0.1,0.0,2986956
a,2,0.05,0.9,0.0,0.1,3069038
a,2,0.05,1.0,0.0,0.0,2805131
a,2,0.1,0.0,1.0,0.0,5317603
a,2,0.1,0.0,0.9,0.1,5600385
a,2,0.1,0.0,0.8,0.2,5782126
a,2,0.1,0.0,0.7,0.3,5901125
a,2,0.1,0.0,0.6,0.4,5926801
a,2,0.1,0.0,0.5,0.5,5874504
a,2,0.1,0.0,0.4,0.6,5738622
a,2,0.1,0.0,0.3,0.7,5508837
a,2,0.1,0.0,0.2,0.8,5206916
a,2,0.1,0.0,0.1,0.9,4800420
a,2,0.1,0.0,0.0,1.0,4323579
a,2,0.1,0.1,0.9,0.0,5396556
a,2,0.1,0.1,0.8,0.1,5665498
a,2,0.1,0.1,0.7,0.2,5830664
a,2,0.1,0.1,0.6,0.3,5908372
a,2,0.1,0.1,0.5,0.4,5939320
a,2,0.1,0.1,0.4,0.5,5870614
a,2,0.1,0.1,0.3,0.6,5671446
a,2,0.1,0.1,0.2,0.7,5443845
a,2,0.1,0.1,0.1,0.8,5104598
a,2,0.1,0.1,0.0,0.9,4696169
a,2,0.1,0.2,0.8,0.0,5358233
a,2,0.1,0.2,0.7,0.1,5596357
a,2,0.1,0.2,0.6,0.2,5729154
a,2,0.1,0.2,0.5,0.3,5826897
a,2,0.1,0.2,0.4,0.4,5814638
a,2,0.1,0.2,0.3,0.5,5753711
a,2,0.1,0.2,0.2,0.6,5548004
a,2,0.1,0.2,0.1,0.7,5267829
a,2,0.1,0.2,0.0,0.8,4892846
a,2,0.1,0.3,0.7,0.0,5233699
a,2,0.1,0.3,0.6,0.1,5429586
a,2,0.1,0.3,0.5,0.2,5540023
a,2,0.1,0.3,0.4,0.3,5624918
a,2,0.1,0.3,0.3,0.4,5576259
a,2,0.1,0.3,0.2,0.5,5481333
a,2,0.1,0.3,0.1,0.6,5242033
a,2,0.1,0.3,0.0,0.7,4948277
a,2,0.1,0.4,0.6,0.0,5048574
a,2,0.1,0.4,0.5,0.1,5171800
a,2,0.1,0.4,0.4,0.2,5251265
a,2,0.1,0.4,0.3,0.3,5284182
a,2,0.1,0.4,0.2,0.4,5240346
a,2,0.1,0.4,0.1,0.5,5107525
a,2,0.1,0.4,0.0,0.6,4877362
a,2,0.1,0.5,0.5,0.0,4729403
a,2,0.1,0.5,0.4,0.1,4826569
a,2,0.1,0.5,0.3,0.2,4859276
a,2,0.1,0.5,0.2,0.3,4866302
a,2,0.1,0.5,0.1,0.4,4822087
a,2,0.1,0.5,0.0,0.5,4668483
a,2,0.1,0.6,0.4,0.0,4342347
a,2,0.1,0.6,0.3,0.1,4453734
a,2,0.1,0.6,0.2,0.2,4420506
a,2,0.1,0.6,0.1,0.3,4452314
a,2,0.1,0.6,0.0,0.4,4359476
a,2,0.1,0.7,0.3,0.0,3951569
a,2,0.1,0.7,0.2,0.1,4035228
a,2,0.1,0.7,0.1,0.2,4022610
a,2,0.1,0.7,0.0,0.3,3994473
a,2,0.1,0.8,0.2,0.0,3572902
a,2,0.1,0.8,0.1,0.1,3603886
a,2,0.1,0.8,0.0,0.2,3613666
a,2,0.1,0.9,0.1,0.0,3172892
a,2,0.1,0.9,0.0,0.1,3208420
a,2,0.1,1.0,0.0,0.0,2799676
a,2,0.2,0.0,1.0,0.0,5353703
a,2,0.2,0.0,0.9,0.1,5462807
a,2,0.2,0.0,0.8,0.2,5542370
a,2,0.2,0.0,0.7,0.3,5591134
a,2,0.2,0.0,0.6,0.4,5578843
a,2,0.2,0.0,0.5,0.5,5575348
a,2,0.2,0.0,0.4,0.6,5516007
a,2,0.2,0.0,0.3,0.7,5418646
a,2,0.2,0.0,0.2,0.8,5292114
a,2,0.2,0.0,0.1,0.9,5101850
a,2,0.2,0.0,0.0,1.0,4825101
a,2,0.2,0.1,0.9,0.0,5382807
a,2,0.2,0.1,0.8,0.1,5511367
a,2,0.2,0.1,0.7,0.2,5569369
a,2,0.2,0.1,0.6,0.3,5586451
a,2,0.2,0.1,0.5,0.4,5586777
a,2,0.2,0.1,0.4,0.5,5566825
a,2,0.2,0.1,0.3,0.6,5473370
a,2,0.2,0.1,0.2,0.7,5392922
a,2,0.2,0.1,0.1,0.8,5259829
a,2,0.2,0.1,0.0,0.9,5074360
a,2,0.2,0.2,0.8,0.0,5401032
a,2,0.2,0.2,0.7,0.1,5500315
a,2,0.2,0.2,0.6,0.2,5534382
a,2,0.2,0.2,0.5,0.3,5562297
a,2,0.2,0.2,0.4,0.4,5553454
a,2,0.2,0.2,0.3,0.5,5524591
a,2,0.2,0.2,0.2,0.6,5451598
a,2,0.2,0.2,0.1,0.7,5352305
a,2,0.2,0.2,0.0,0.8,5204819
a,2,0.2,0.3,0.7,0.0,5390871
a,2,0.2,0.3,0.6,0.1,5461418
a,2,0.2,0.3,0.5,0.2,5469020
a,2,0.2,0.3,0.4,0.3,5500574
a,2,0.2,0.3,0.3,0.4,5499795
a,2,0.2,0.3,0.2,0.5,5452264
a,2,0.2,0.3,0.1,0.6,5355255
a,2,0.2,0.3,0.0,0.7,5242508
a,2,0.2,0.4,0.6,0.0,5289185
a,2,0.2,0.4,0.5,0.1,5364286
a,2,0.2,0.4,0.4,0.2,5394344
a,2,0.2,0.4,0.3,0.3,5402021
a,2,0.2,0.4,0.2,0.4,5390966
a,2,0.2,0.4,0.1,0.5,5334147
a,2,0.2,0.4,0.0,0.6,5237916
a,2,0.2,0.5,0.5,0.0,5169812
a,2,0.2,0.5,0.4,0.1,5225816
a,2,0.2,0.5,0.3,0.2,5256444
a,2,0.2,0.5,0.2,0.3,5263456
a,2,0.2,0.5,0.1,0.4,5226935
a,2,0.2,0.5,0.0,0.5,5149772
a,2,0.2,0.6,0.4,0.0,4987299
a,2,0.2,0.6,0.3,0.1,5089844
a,2,0.2,0.6,0.2,0.2,5068573
a,2,0.2,0.6,0.1,0.3,5065032
a,2,0.2,0.6,0.0,0.4,5001821
a,2,0.2,0.7,0.3,0.0,4774401
a,2,0.2,0.7,0.2,0.1,4832907
a,2,0.2,0.7,0.1,0.2,4841946
a,2,0.2,0.7,0.0,0.3,4789096
a,2,0.2,0.8,0.2,0.0,4490334
a,2,0.2,0.8,0.1,0.1,4504720
a,2,0.2,0.8,0.0,0.2,4475783
a,2,0.2,0.9,0.1,0.0,4075688
a,2,0.2,0.9,0.0,0.1,4043151
a,2,0.2,1.0,0.0,0.0,3396472
a,3,0.05,0.0,1.0,0.0,6075849
a,3,0.05,0.0,0.9,0.1,6720458
a,3,0.05,0.0,0.8,0.2,7299688
a,3,0.05,0.0,0.7,0.3,7786660
a,3,0.05,0.0,0.6,0.4,7985869
a,3,0.05,0.0,0.5,0.5,7818040
a,3,0.05,0.0,0.4,0.6,7227389
a,3,0.05,0.0,0.3,0.7,6454023
a,3,0.05,0.0,0.2,0.8,5691746
a,3,0.05,0.0,0.1,0.9,4896532
a,3,0.05,0.0,0.0,1.0,4179918
a,3,0.05,0.1,0.9,0.0,6420114
a,3,0.05,0.1,0.8,0.1,7010532
a,3,0.05,0.1,0.7,0.2,7459718
a,3,0.05,0.1,0.6,0.3,7817444
a,3,0.05,0.1,0.5,0.4,7963867
a,3,0.05,0.1,0.4,0.5,7712123
a,3,0.05,0.1,0.3,0.6,6968985
a,3,0.05,0.1,0.2,0.7,6307567
a,3,0.05,0.1,0.1,0.8,5444460
a,3,0.05,0.1,0.0,0.9,4579367
a,3,0.05,0.2,0.8,0.0,6333479
a,3,0.05,0.2,0.7,0.1,6901364
a,3,0.05,0.2,0.6,0.2,7050288
a,3,0.05,0.2,0.5,0.3,7328227
a,3,0.05,0.2,0.4,0.4,7361756
a,3,0.05,0.2,0.3,0.5,7162283
a,3,0.05,0.2,0.2,0.6,6552583
a,3,0.05,0.2,0.1,0.7,5807359
a,3,0.05,0.2,0.0,0.8,5074561
a,3,0.05,0.3,0.7,0.0,5895167
a,3,0.05,0.3,0.6,0.1,6262186
a,3,0.05,0.3,0.5,0.2,6324367
a,3,0.05,0.3,0.4,0.3,6594647
a,3,0.05,0.3,0.3,0.4,6609279
a,3,0.05,0.3,0.2,0.5,6326677
a,3,0.05,0.3,0.1,0.6,5694087
a,3,0.05,0.3,0.0,0.7,5306774
a,3,0.05,0.4,0.6,0.0,5334050
a,3,0.05,0.4,0.5,0.1,5554242
a,3,0.05,0.4,0.4,0.2,5774399
a,3,0.05,0.4,0.3,0.3,5880593
a,3,0.05,0.4,0.2,0.4,5880583
a,3,0.05,0.4,0.1,0.5,5631751
a,3,0.05,0.4,0.0,0.6,5253255
a,3,0.05,0.5,0.5,0.0,4850258
a,3,0.05,0.5,0.4,0.1,5129740
a,3,0.05,0.5,0.3,0.2,5147213
a,3,0.05,0.5,0.2,0.3,5282272
a,3,0.05,0.5,0.1,0.4,5227689
a,3,0.05,0.5,0.0,0.5,5019530
a,3,0.05,0.6,0.4,0.0,4535462
a,3,0.05,0.6,0.3,0.1,4827437
a,3,0.05,0.6,0.2,0.2,4671324
a,3,0.05,0.6,0.1,0.3,4860785
a,3,0.05,0.6,0.0,0.4,4791479
a,3,0.05,0.7,0.3,0.0,4226903
a,3,0.05,0.7,0.2,0.1,4482385
a,3,0.05,0.7,0.1,0.2,4507457
a,3,0.05,0.7,0.0,0.3,4522583
a,3,0.05,0.8,0.2,0.0,3995193
a,3,0.05,0.8,0.1,0.1,4136368
a,3,0.05,0.8,0.0,0.2,4233312
a,3,0.05,0.9,0.1,0.0,3835160
a,3,0.05,0.9,0.0,0.1,3940228
a,3,0.05,1.0,0.0,0.0,3654602
a,3,0.1,0.0,1.0,0.0,6962003
a,3,0.1,0.0,0.9,0.1,7366443
a,3,0.1,0.0,0.8,0.2,7653964
a,3,0.1,0.0,0.7,0.3,7812945
a,3,0.1,0.0,0.6,0.4,7884108
a,3,0.1,0.0,0.5,0.5,7815804
a,3,0.1,0.0,0.4,0.6,7609833
a,3,0.1,0.0,0.3,0.7,7266258
a,3,0.1,0.0,0.2,0.8,6820327
a,3,0.1,0.0,0.1,0.9,6273120
a,3,0.1,0.0,0.0,1.0,5594655
a,3,0.1,0.1,0.9,0.0,7038204
a,3,0.1,0.1,0.8,0.1,7450120
a,3,0.1,0.1,0.7,0.2,7694380
a,3,0.1,0.1,0.6,0.3,7845817
a,3,0.1,0.1,0.5,0.4,7886264
a,3,0.1,0.1,0.4,0.5,7776993
a,3,0.1,0.1,0.3,0.6,7528084
